EDO concept,EDO label,EDO IRI,Mapping relation,External concept,External label,External IRI,External type,Alignment status,Confidence,Review status,Source standard,Rationale,Review note
edo:DesignedMinimumTemperature,Designed Minimum Temperature,https://w3id.org/energy-domain/edo#DesignedMinimumTemperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedThickness,Designed Thickness,https://w3id.org/energy-domain/edo#DesignedThickness,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedVolume,Designed Volume,https://w3id.org/energy-domain/edo#DesignedVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DesignedWeight,Designed Weight,https://w3id.org/energy-domain/edo#DesignedWeight,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Diameter,Diameter,https://w3id.org/energy-domain/edo#Diameter,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DimensionalAttribute,Dimensional attribute,https://w3id.org/energy-domain/edo#DimensionalAttribute,relatedMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DisplacedVolume,Displaced Volume,https://w3id.org/energy-domain/edo#DisplacedVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Distance,Distance,https://w3id.org/energy-domain/edo#Distance,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DomainAttribute,Domain Attribute,https://w3id.org/energy-domain/edo#DomainAttribute,closeMatch,lis:Quality,Quality,http://rds.posccaesar.org/ontology/lis14/rdl/Quality,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DomainAttributeNature,Domain attribute nature,https://w3id.org/energy-domain/edo#DomainAttributeNature,relatedMatch,lis:Quality,Quality,http://rds.posccaesar.org/ontology/lis14/rdl/Quality,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:DomainAttributeRole,Domain attribute role,https://w3id.org/energy-domain/edo#DomainAttributeRole,relatedMatch,lis:Role,Role,http://rds.posccaesar.org/ontology/lis14/rdl/Role,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:EndFitting,End fitting,https://w3id.org/energy-domain/edo#EndFitting,closeMatch,lis:PhysicalArtefact,Physical Artefact,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalArtefact,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:FatigueLife,Fatigue Life,https://w3id.org/energy-domain/edo#FatigueLife,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Feature,Feature,https://w3id.org/energy-domain/edo#Feature,closeMatch,lis:Feature,Feature,http://rds.posccaesar.org/ontology/lis14/rdl/Feature,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:FlexiblePipeSegment,Flexible Pipe Segment,https://w3id.org/energy-domain/edo#FlexiblePipeSegment,closeMatch,lis:PhysicalArtefact,Physical Artefact,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalArtefact,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:FlexibleStructure,FlexibleStructure,https://w3id.org/energy-domain/edo#FlexibleStructure,closeMatch,lis:System,System,http://rds.posccaesar.org/ontology/lis14/rdl/System,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:FluidStream,Fluid Stream,https://w3id.org/energy-domain/edo#FluidStream,closeMatch,lis:Stream,Stream,http://rds.posccaesar.org/ontology/lis14/rdl/Stream,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:HydrostaticCollapseAbsPressDry,Hydrostatic Collapse Absolute Pressure Dry,https://w3id.org/energy-domain/edo#HydrostaticCollapseAbsPressDry,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:IndividualAnodeMass,Individual Anode Mass,https://w3id.org/energy-domain/edo#IndividualAnodeMass,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:InsideTemperature,Inside Temperature,https://w3id.org/energy-domain/edo#InsideTemperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:InstalledLength,Installed Length,https://w3id.org/energy-domain/edo#InstalledLength,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:InstalledWaterDepth,Installed Water Depth,https://w3id.org/energy-domain/edo#InstalledWaterDepth,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:InternalVolume,Internal Volume,https://w3id.org/energy-domain/edo#InternalVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Length,Length,https://w3id.org/energy-domain/edo#Length,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:LineAncillary,Line Ancillary,https://w3id.org/energy-domain/edo#LineAncillary,closeMatch,lis:PhysicalArtefact,Physical Artefact,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalArtefact,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:LinearMass,Linear Mass,https://w3id.org/energy-domain/edo#LinearMass,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:LocationAttribute,Location attribute,https://w3id.org/energy-domain/edo#LocationAttribute,relatedMatch,lis:Location,Location,http://rds.posccaesar.org/ontology/lis14/rdl/Location,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:LongitudinalOffset,Longitudinal Offset,https://w3id.org/energy-domain/edo#LongitudinalOffset,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Mass,Mass,https://w3id.org/energy-domain/edo#Mass,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:MaxDesignPressure,Maximum Design Pressure,https://w3id.org/energy-domain/edo#MaxDesignPressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:MaxPressure,Maximum Pressure,https://w3id.org/energy-domain/edo#MaxPressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:MaxTension,Max Tension,https://w3id.org/energy-domain/edo#MaxTension,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:MaxWaterDepth,Maximum Water Depth,https://w3id.org/energy-domain/edo#MaxWaterDepth,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:MaximumTemperature,Maximum Temperature,https://w3id.org/energy-domain/edo#MaximumTemperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:MinimumBendingRadius,Minimum Bending Radius,https://w3id.org/energy-domain/edo#MinimumBendingRadius,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:MinimumBendingRadiusForStorage,Minimum Bending Radius for Storage,https://w3id.org/energy-domain/edo#MinimumBendingRadiusForStorage,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:MinimumTemperature,Minimum Temperature,https://w3id.org/energy-domain/edo#MinimumTemperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:NominalLength,Nominal Length,https://w3id.org/energy-domain/edo#NominalLength,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Offset,Offset,https://w3id.org/energy-domain/edo#Offset,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:OperatingBendingRadius,Operating Bending Radius,https://w3id.org/energy-domain/edo#OperatingBendingRadius,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:OperatingBurstPressure,Operating Burst Pressure,https://w3id.org/energy-domain/edo#OperatingBurstPressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
