EDO concept,EDO label,EDO IRI,Mapping relation,External concept,External label,External IRI,External type,Alignment status,Confidence,Review status,Source standard,Rationale,Review note
edo:RequiredMaxTension,Required Max Tension,https://w3id.org/energy-domain/edo#RequiredMaxTension,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:RequiredMaxWaterDepth,Required Maximum Water Depth,https://w3id.org/energy-domain/edo#RequiredMaxWaterDepth,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:RequiredMaximumTemperature,Required Maximum Temperature,https://w3id.org/energy-domain/edo#RequiredMaximumTemperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:RequiredMinimumBendingRadius,Required Minimum Bending Radius,https://w3id.org/energy-domain/edo#RequiredMinimumBendingRadius,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:RequiredMinimumTemperature,Required Minimum Temperature,https://w3id.org/energy-domain/edo#RequiredMinimumTemperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:RequiredThickness,Required Thickness,https://w3id.org/energy-domain/edo#RequiredThickness,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:RequiredVolume,Required Volume,https://w3id.org/energy-domain/edo#RequiredVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:RequiredWeight,Required Weight,https://w3id.org/energy-domain/edo#RequiredWeight,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:SpecificWeight,Specific Weight,https://w3id.org/energy-domain/edo#SpecificWeight,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Specification,Specification,https://w3id.org/energy-domain/edo#Specification,closeMatch,lis:PrescriptiveObject,Prescriptive Object,http://rds.posccaesar.org/ontology/lis14/rdl/PrescriptiveObject,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:SpoolingTension,Spooling Tension,https://w3id.org/energy-domain/edo#SpoolingTension,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:SubseaSystem,Subsea System,https://w3id.org/energy-domain/edo#SubseaSystem,closeMatch,lis:System,System,http://rds.posccaesar.org/ontology/lis14/rdl/System,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:TechnicalArtifact,Technical Artifact,https://w3id.org/energy-domain/edo#TechnicalArtifact,closeMatch,lis:InformationObject,Information Object,http://rds.posccaesar.org/ontology/lis14/rdl/InformationObject,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Temperature,Temperature,https://w3id.org/energy-domain/edo#Temperature,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
